company,Company_Status,location,location_Status,industry,Industry_Status,total_laid_off,layoffs_Status,percentage_laid_off,Percentage_Status,date,Date_Status,year,Year_Status,Month,Month_Status,stage,country,funds_raised_millions,Funds_Status
ANODOT,Reported,TEL AVIV,Reported,DATA,Reported,35,Reported,0.27,Reported,06/07/2022,Reported,2022,Reported,7,Reported,SERIES C,UNITED STATES,64,Reported
ANTIDOTE HEALTH,Reported,TEL AVIV,Reported,HEALTHCARE,Reported,23,Reported,0.38,Reported,23/10/2022,Reported,2022,Reported,10,Reported,UNKNOWN,ISRAEL,36,Reported
ANYVISION,Reported,TEL AVIV,Reported,SECURITY,Reported,0,missing,0,missing,19/03/2020,Reported,2020,Reported,3,Reported,SERIES A,ISRAEL,74,Reported
ANYWELL,Reported,TEL AVIV,Reported,REAL ESTATE,Reported,11,Reported,0,missing,14/08/2022,Reported,2022,Reported,8,Reported,SERIES A,ISRAEL,15,Reported
APARTMENT LIST,Reported,SF BAY AREA,Reported,REAL ESTATE,Reported,29,Reported,0.1,Reported,31/08/2022,Reported,2022,Reported,8,Reported,SERIES D,UNITED STATES,169,Reported
APEEL SCIENCES,Reported,SANTA BARBARA,Reported,FOOD,Reported,0,missing,0,missing,11/07/2022,Reported,2022,Reported,7,Reported,SERIES E,UNITED STATES,640,Reported
APOLLO,Reported,SF BAY AREA,Reported,PRODUCT,Reported,0,missing,0.15,Reported,15/12/2022,Reported,2022,Reported,12,Reported,SERIES D,UNITED STATES,183,Reported
APOLLO INSURANCE,Reported,VANCOUVER,Reported,FINANCE,Reported,0,missing,0.25,Reported,15/11/2022,Reported,2022,Reported,11,Reported,SERIES B,CANADA,11,Reported
APP ANNIE,Reported,SF BAY AREA,Reported,DATA,Reported,80,Reported,0.18,Reported,28/04/2020,Reported,2020,Reported,4,Reported,UNKNOWN,UNITED STATES,156,Reported
APPGATE,Reported,MIAMI,Reported,SECURITY,Reported,34,Reported,0.08,Reported,01/02/2023,Reported,2023,Reported,2,Reported,POST-IPO,UNITED STATES,0,missing
APPGATE,Reported,MIAMI,Reported,SECURITY,Reported,130,Reported,0.22,Reported,21/07/2022,Reported,2022,Reported,7,Reported,POST-IPO,UNITED STATES,0,missing
APPLOVIN,Reported,SF BAY AREA,Reported,MARKETING,Reported,300,Reported,0.12,Reported,27/06/2022,Reported,2022,Reported,6,Reported,POST-IPO,UNITED STATES,1600,Reported
